ABCC3
VGLL3
UCHL1
PALLD
ITGB5
TXNRD1
MSC
NQO1
GLB1
HTRA1
EPDR1
CYBASC3
EGFL6
PLAC9
MMP9
P2RX6
GALNT1
AGPAT9
PMM1
SLC7A4
GPT
NEK6
CXCL16
HADH
ADH1A
ANG
C6
CA3
SLC25A6
STC2
TM7SF2
GNG2
EFEMP1
NSF
HMOX1
SPA17
RAB7B
CALML4
ZMPSTE24
MID1
AZGP1
ITGB2
UBE2D4
CCPG1
GPLD1
TMCO3
NEXN
HAVCR2
ATP6AP2
ABCC1
CRTAP
IRAK1
LOX
PEA15
BMP2K
GMFB
PPP1R16A
EEF2
ADH1B
NAALAD2
SRXN1
ANKDD1A
MS4A7
CD86
PSME4
NLN
ECHDC2
KLHL5
HDDC3
PENK
VAMP8
SLC15A3
CECR1
RFFL
ARHGAP30
YWHAH
DEGS1
ID2
SRPX2
TFDP1
ARHGAP21
GCLM
PPAP2A
NPL
SLC31A1
BHMT2
CES1
RAB32
COL24A1
AKR1C3
STX6
ALCAM
ITGAV
GARS
KIF5B
SUMO3
NANOS3
HPRT1
RRM2B
LCP1
PFN2
CIDEA
RBM47
LILRB4
CALU
DMRT2
SYNC
NPR3
LEP
TYROBP
MOCS1
PHF13
EEF1E1
SLC7A7
SPP1
DLST
KPNA2
MSRB3
ADAP2
ACTN1
GRN
DCI
CCNYL1
IFI30
RAB31
CES4
CTSB
DUSP3
CABC1
FGF1
BST1
BAG3
L2HGDH
ACP5
BCKDHA
ETFA
TWIST1
GPC1
MSN
TUBB2B
ARF4
HEXB
SLC11A2
HCST
TMEM54
NCF2
HNRNPAB
GLYCTK
ZFAND5
GBA
OXA1L
TNMD
CCND2
PFKFB3
ANXA5
BCAT1
CORO1C
STK17B
ZNF541
TUBB2A
SERPINB8
CYBB
PSME3
FPR3
S100A11
MVP
CYTH4
KIF3B
GLIPR2
CENPE
BCAP29
PIP4K2A
DNAJB11
SULT1A2
CALM1
ANGPT1
GPR146
HCLS1
FAM98A
AKR1C4
RNF145
EIF3F
PTPN11
ADCY7
TXN
ELOVL1
TTYH3
FANCE
ZMYND15
CD84
INF2
TMEM181
TAX1BP3
TMCO6
OSTM1
FERMT3
CCND1
CCNF
SEC23B
ALDH6A1
DYNC1I1
MGAT4A
GPD1L
ACP6
